Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID
9/15/24,"Reported in September 2024: An unspecified number of schools were hit by Israeli forces._x000D_
",Lebanon,LBN,No Information,0,0,censored by HDX,Education Building ,Foreign Forces - Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,84350
8/29/24,August 2024: A teacher coordinator of an indigenous reserve was shot and killed by unidentified perpetrators at a gas station. The victim had received threats by armed groups in April. ,Colombia,COL,RAP Pacific,2.8008435,-76.5500958,(2) 25 km Precision ,Other,No Information,No Information,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,1,0,0,0,0,0,0,0,0,0,77196
8/28/24,"28 August 2024: Nine Palestinians, including two children and a person with disability, were reportedly killed and an unspecified number injured when they were hit at the entrance of a governmental school, designated as an IDP shelter. ",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,School: No Further Details,1,0,0,0,0,0,TRUE,0,0,0,0,10,0,0,0,0,0,73789
8/27/24,August 2024: A soldier was killed and three persons injured after a temporary clinic set up in a school was hit by a Myanmar military airstrike. The clinic was damaged. ,Myanmar,MMR,Sagaing Region,22.95318855,94.4442828,(2) 25 km Precision ,Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,3,0,0,0,0,0,76165
8/27/24,August 2024: A high school was damaged in an airstrike attack by the Myanmar military.,Myanmar,MMR,Shan State,22.5436897,97.0357197,"(3) District, Communicipality or Commune ",Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,Secondary School,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,73888
8/26/24,"August 2024: A government school and other building were destroyed when two BLA militants, including a female attacker, carried out a suicide bomb attack at an Frontier Corps (FC) camp. The attackers drove their vehicle into the camp's gate and detonated the explosives while still inside the vehicle. Around three BLA militants later stormed inside the FC camp.",Pakistan,PAK,Balochistan,26.2267783,66.3112626,(2) 25 km Precision ,Education Building ,NSA,Balochistan Liberation United Front,Unspecified Explosive,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,76297
8/26/24,August 2024: College was destroyed by RSF artillery strikes. ,Sudan,SDN,North Darfur State,13.6238244,25.3555559,"(3) District, Communicipality or Commune ",Education Building ,Vigilante,Rapid Support Forces,Artillery,University,0,1,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,76000
8/26/24,August 2024: A school was damaged following an airstrike by the military. ,Myanmar,MMR,Mandalay,21.27012345,95.48463823,(2) 25 km Precision ,Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,73856
8/25/24,August 2024: A teacher was killed by JNIM militants while cultivating his field. ,Mali,MLI,Mopti,14.3505,-3.6112766,"(3) District, Communicipality or Commune ",None,NSA,Jama'at Nasr al-Islam wal Muslimin,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,1,0,0,0,0,0,0,0,0,0,75308
8/25/24,"August 2024: An unidentified explosive device exploded inside a school, injuring 30 students. ",Yemen,YEM,Sana'a Governorate,15.245063,43.982055,(2) 25 km Precision ,Education Building ,No Information,No Information,Unspecified IED,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,30,0,30,0,0,0,77193
8/24/24,As reported in August 2024: The faculties of Medicine and Health at a university were looted by the RSF. ,Sudan,SDN,South Darfur State,12.05821752,24.89273429,(2) 25 km Precision ,Education Building ,Vigilante,Rapid Support Forces,Firearms,University,0,1,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,75901
8/23/24,August 2024: A health worker and a teacher were arrested by the Myanmar military as they were found to be transporting medicines.,Myanmar,MMR,Rakhine,18.85690955,94.23792935,(2) 25 km Precision ,Other,Other,Myanmar Armed Forces,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,0,0,1,0,0,0,0,0,0,78739
8/22/24,August 2024: A university was struck by the RSF shelling. ,Sudan,SDN,North Darfur State,13.62830369,25.32247376,"(3) District, Communicipality or Commune ",Education Building ,Vigilante,Rapid Support Forces,Shelling,University,0,1,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,75868
8/22/24,August 2024: A school was severely damaged by heavy artillery fire from the Myanmar Armed Forces.,Myanmar,MMR,Bago Region,17.9532219,96.7259854,(2) 25 km Precision ,Education Building ,Other,Myanmar Armed Forces,Artillery,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,73855
8/22/24,August 2024: The vicinity of a school was hit when Hezbollah forces in Lebanon fired at least two rockets on the area. Hezbollah forces claimed to have targeted and directly hit IDF sites in the area with drones and rocket fire. ,Israel,ISR,North District,33.2074733,35.5707828,(2) 25 km Precision ,Education Building ,NSA,Hezbollah,Missile,School: No Further Details,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,77057
8/22/24,August 2024: A school was damaged by bombs dropped by Myanmar military fighter jets.,Myanmar,MMR,Sagaing Region,22.73051126,95.24236679,(2) 25 km Precision ,Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,78675
8/21/24,August 2024: A school was hit when Syrian regime forces shelled the area. ,Syria,SYR,Idleb Governorate,35.9034415,36.7257476,(2) 25 km Precision ,Education Building ,Other,Syrian Armed Forces,Shelling,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,77188
8/20/24,"20 August 2024: A school which shelters IDPs was hit and 12 people, including children and a journalist were killed by an Israeli airstrike. ",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,0,TRUE,0,0,0,0,12,0,0,0,0,0,73756
8/20/24,August 2024: A school was bombed by a Military Council airstrike.,Myanmar,MMR,Sagaing Region,23.1958442,94.014583,"(3) District, Communicipality or Commune ",Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,73826
8/19/24,August 2024: An unspecified number of schools were damaged by a Military Council airstrike. ,Myanmar,MMR,Chin,22.018242,93.5038035,"(4) Province, State, Governorate ",Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,73825
8/16/24,"August 2024: A school was hit by airstrikes from military council forces, killing 11 refugees and injuring an unspecified number of others. ",Myanmar,MMR,Rakhine,18.0128728,94.4872053,(2) 25 km Precision ,Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,12,0,0,0,0,0,73827
